Topic,Count,Name,Representation,Representative_Docs
62,120,62_platelet_platelets_heparin_γa,"['platelet', 'platelets', 'heparin', 'γa', 'thrombin', 'fibrin', 'activation', 'par4', 'aggregation', 'formation']","['As a result, we found no correlation between platelet aggregation responses obtained with optical method and platelet indices proposed as indicators of certain pathologic conditions, and it does not seem possible to use platelet indices as a direct indicator of platelet activation. In conditions where platelet functions should have been assessed, platelet indices alone are inappropriate and further evaluation is necessary with different methods.', 'These studies show that platelets possess a protein palmitoylation machinery that is required for both platelet activation and platelet accumulation into thrombi. These studies show that inhibition of platelet protein palmitoylation blocks platelet aggregation and granule secretion. In a murine model of thrombus formation, inhibition of protein palmitoylation markedly inhibits platelet accumulation into thrombi at sites of vascular injury.', 'Background Thrombin-induced platelet activation is important for arterial thrombosis. Thrombin activates human platelets predominantly via protease-activated receptor (PAR)1 and PAR4. PAR1 has higher affinity for thrombin, and the first PAR1 antagonist, vorapaxar, was recently approved for use as an antiplatelet agent. However, vorapaxar is contraindicated in a significant number of patients, owing to adverse bleeding events. Consequently, there is renewed interest in the role of platelet PAR4 in the setting of thrombus formation. Objectives To determine the specific antiplatelet effects of inhibiting PAR4 function during thrombus formation in human whole blood. Methods and Results We developed a rabbit polyclonal antibody against the thrombin cleavage site of PAR4, and showed it to be a highly specific inhibitor of PAR4-mediated platelet function. This function-blocking anti-PAR4 antibody was used to probe for PAR4-dependent platelet functions in human isolated platelets in the absence and presence of concomitant PAR1 inhibition. The anti-PAR4 antibody alone was sufficient to abolish the sustained elevation of cytosolic calcium level and consequent phosphatidylserine exposure induced by thrombin, but did not significantly inhibit integrin αII b β3 activation, α-granule secretion, or aggregation. In accord with these in vitro experiments on isolated platelets, selective inhibition of PAR4, but not of PAR1, impaired thrombin activity (fluorescence resonance energy transfer-based thrombin sensor) and fibrin formation (anti-fibrin antibody) in an ex vivo whole blood flow thrombosis assay. Conclusions These findings demonstrate that PAR4 is required for platelet procoagulant function during thrombus formation in human blood, and suggest PAR4 inhibition as a potential target for the prevention of arterial thrombosis.']"
63,117,63_burn_burns_injury_resuscitation,"['burn', 'burns', 'injury', 'resuscitation', 'shock', 'fluid', 'burned', 'the', 'care', 'wound']","['Escharectomy during burn shock stage contribute to decreasing the hypermetabolic response to burn injury.', 'Effective oral fluid therapy in severe burn rabbits during 24 hours after burn can ameliorate myocardial mechanics parameters. The amount of fluid resuscitation can be estimated according to relevant formula for delayed fluid resuscitation in burn rabbits.', 'Even though demographic variables, injury characteristics and burn care interventions were similar across genders, following burn injury female patients reported greater impairments in generic and burn-specific HRQoL along with psychological morbidity, when compared to male patients. Urgent clinical and research attention utilising an evidence-based research framework, which incorporates the use of larger sample sizes, the use of validated instruments to measure appropriate outcomes, and a commitment to monitoring long-term care, can only improve burn-care.']"
64,117,64_transplantation_donor_graft_transplant,"['transplantation', 'donor', 'graft', 'transplant', 'renal', 'rejection', 'kidney', 'donors', 'recipients', 'lung']","['Calculated donor CrCl and donor vascular pathology predict recipient graft function and may be helpful in selecting high-risk donors for single kidney transplantation.', 'Older living donor kidneys can be transplanted with low perioperative risk without compromising recipient 5-year patient or graft survival or donor renal function. Younger donor kidneys have superior graft function 5 years after transplantation, highlighting the need for appropriate donor/recipient matching.', 'Early graft function in the first 3 months showed a significant impact on long-term graft survival after deceased donor renal transplantation.']"
65,113,65_vitamin_25_deficiency_oh,"['vitamin', '25', 'deficiency', 'oh', 'status', 'bmi', 'women', 'supplementation', 'levels', 'men']","['Vitamin D insufficiency was common even when vitamin D intake exceeded the recommended daily intake. Vitamin D status was a key determinant of BMD. The findings suggest urgent need to increase vitamin D intake to optimize bone health in children.', 'To our knowledge,this is the first study of vitamin D status in CTCL patients. Vitamin D deficiency was present in CTCL and other cancer patients compared with normal and historical controls. Correction of vitamin D deficiency and type of vitamin D supplementation used did not affect the overall clinical disease response.', 'Vitamin D deficiency improves with oral vitamin D supplementation and levels fall without supplementation. Chronic liver disease patients are at very high risk of vitamin D deficiency regardless of etiology or severity.']"
66,112,66_malaria_parasite_falciparum_vivax,"['malaria', 'parasite', 'falciparum', 'vivax', 'infection', 'leishmania', 'plasmodium', 'mosquitoes', 'gambiae', 'transmission']","['Synchronous malaria epidemics call for the integration of knowledge on the forcing of malaria transmission by environmental variability to develop robust malaria control and elimination programs.', 'The usage of a combination of malaria control tools in an integrated fashion by residents of Mwea division might have influenced the decreased malaria cases in the district hospital and in the school children. A vigorous campaign emphasizing IMM should be adopted and expanded in Mwea division and in other areas with different eco-epidemiological patterns of malaria transmission. With sustained implementation and support from community members integrated malaria management can reduce malaria significantly in affected communities in Africa.', 'High-titer antibodies to EBA-175 are associated with protection from clinical malaria in children in a malaria holoendemic area of Kenya. Accurate estimates of antibody-associated protection from clinical malaria require adjustment for malaria exposure.']"
67,112,67_atherosclerosis_atherosclerotic_plaque_atherogenesis,"['atherosclerosis', 'atherosclerotic', 'plaque', 'atherogenesis', 'monocyte', 'endothelial', 'mice', 'macrophage', 'mcp', 'deficiency']","['Our results on OxLDL-mediated platelet-monocyte aggregate formation, which promoted phenotypic changes in monocytes, monocyte extravasation and enhanced foam cell formation in vitro and in vivo, provide a novel mechanism for how platelets potentiate key steps of atherosclerotic plaque development and plaque destabilization.', 'Our results demonstrate that MKP-1 deficiency significantly decreases atherosclerotic lesion development in mice, in part, by affecting MCP-1 levels in the circulation and MCP-1 production by macrophages. MKP-1 may serve as a potential therapeutic target for the treatment of atherosclerotic disease.', 'Endothelial-targeted Nox2 overexpression in ApoE(-/-) mice is sufficient to increase vascular superoxide production and increase macrophage recruitment possible via activation of endothelial cells. However, this initial increase in macrophage recruitment did not alter the progression of atherosclerosis. These results indicate that Nox-mediated reactive oxygen species signalling has important cell-specific and distinct temporal roles in the initiation and progression of atherosclerosis.']"
68,108,68_colonoscopy_colorectal_polyps_adenomas,"['colonoscopy', 'colorectal', 'polyps', 'adenomas', 'screening', 'colon', 'adenoma', 'polyp', 'endoscopic', 'bowel']","['A quarter of polyps were missed during colonoscopy. Physicians should be aware that the risk of missing a polyp is related to patient factors (presence of > 2 polyps) and polyp factors (left colon location).', 'HD+ colonoscopy with I-Scan is superior to standard video colonoscopy in detecting patients with colorectal neoplasia based on this prospective, randomized, controlled trial.', 'Incidence rates of colorectal cancer are low in the follow-up of patients having undergone a total colonoscopy in everyday practice. After standard therapy of colorectal adenomas at colonoscopy, there is little evidence for excess colorectal cancer incidence in this subgroup.']"
69,108,69_falls_fall_older_risk,"['falls', 'fall', 'older', 'risk', 'adults', 'falling', 'mobility', 'physical', 'people', 'prevention']","['Falls and injurious falls without fracture are frequent events for healthy elderly people and may be associated with morbid changes in cognitive status, physical health, and mobility.', 'The results indicated that moderate or vigorous physical activity could enhance falls self-efficacy. Moreover, past falling experiences were negatively associated with falls self-efficacy, whereas perceived health status and chronic pain had a significant impact. Future fall prevention programs should adopt a multifactorial approach that focuses on enhancing falls self-efficacy.', 'The high rate of injurious falls seen here and the detailed information on activity at the time of the fall emphasize the need to increase awareness of behaviors and the environment to reduce fall risk. Previous studies have identified risk factors for falls, some of which cannot be modified, such as age or gender. In contrast, this study describes the activity at the time of the fall: many falls occur in the home environment, some with modifiable circumstances.']"
70,107,70_motor_cortical_visual_excitability,"['motor', 'cortical', 'visual', 'excitability', 'corticospinal', 'vestibular', 'movements', 'eye', 'tdcs', 'sensorimotor']","['Vergence errors of up to +/-2 degrees, without diplopia, were common in subjects with normal binocular single vision. Errors of 5 degrees were rare but present. In all, the largest number of errors occurred as a failure of divergence for far fixations, consistent with previous studies that have suggested differences in the neural control of pathways for convergence and divergence, or possibly caused by differences in the anatomical properties of the medial and lateral rectus muscles and their associated fascia. The absence of diplopia during the period of fixation could only be partly associated with the visual suppression associated with vergence eye movements that has been reported by others because it was still present after the vergence movement was completed. The natural viewing conditions in this study that included a full visual field and multiple disparities may have contributed to this effect.', 'Our results show that steadiness and visuomotor integration of fine motor skills are altered in our adult sample but not precision and speed of movements. This alteration pattern might be the clinical vignette of complex adaptations in the excitability of the motor system on the basis of altered cortical and subcortical components. The structurally and functionally altered neuronal components could encompass orbitofrontal, ventrolateral prefrontal and parietal cortices, the anterior cingulate, amygdala, primary motor and sensorimotor areas including altered corticospinal projections, the corpus callosum and the basal ganglia.', 'During implicit motor learning, the cerebellum appears to participate in the formation of predictive strategies for the timing of motor responses, rather than for the accuracy of motor execution. Because deficits were found in the contralesional upper extremity, the authors suggest that this function is not lateralized to 1 hemisphere; cerebellar output may affect the formation of an internal model for timing movements in both upper extremities.']"
71,103,71_production_enzymes_the_biosynthetic,"['production', 'enzymes', 'the', 'biosynthetic', 'strain', 'acid', 'bacteria', 'from', 'carotenoid', 'cellulose']","['We showed that P. pastoris has a great potential as a fermentative organism for producing L-lactic acid using glycerol as the carbon source at limited oxygenation conditions (below 0.05\xa0% DO in the bioreactor). The best strain had both the LDHb and the homologous lactate transporter encoding genes expressed, and reached a titer 1.5 times higher than the strain with the S. cerevisiae transporter. Finally, it was also shown that increased lactic acid production was concomitant to reduction of acetic acid formation by half.', 'The fungus U. maydis is a promising producer of itaconic acid, since it grows as single cells (yeast-like) in submerged cultivations and it is extremely robust in high osmotic media and real seawater. Moreover, U. maydis can grow on the hemicellulosic fraction of pretreated beech wood. Thereby, this fungus combines important advantages of yeasts and filamentous fungi. Nevertheless, the biomass pretreatment does indeed affect the subsequent itaconic acid production. Although U. maydis is insusceptible to most possible impurities from pretreatment, high amounts of salts or residues of organic acids can slow microbial growth and decrease the production. Consequently, the pretreatment step needs to fit the prerequisites defined by the actual microorganisms applied for fermentation.', 'Comparative genomics analyses of microbial carotenoid biosynthetic proteins indicate a much greater taxonomic diversity then that identified based on structural and biosynthetic data, and divides microbial carotenoid biosynthesis into several, well-supported phylogenetic lineages not evident previously. This phylogenetic framework is applicable to understanding the evolution of specific carotenoid biosynthetic proteins or the unique characteristics of carotenoid biosynthetic evolution in a specific phylogenetic lineage. Together, these analyses suggest a ""bramble"" model for microbial carotenoid biosynthesis whereby later biosynthetic steps exhibit greater evolutionary plasticity and reticulation compared to those closer to the biosynthetic ""root"". Structural diversification may be constrained (""trimmed"") where selection is strong, but less so where selection is weaker. These analyses also highlight likely productive avenues for future research and bioprospecting by identifying both gaps in current knowledge and taxa which may particularly facilitate carotenoid diversification.']"
72,100,72_adiponectin_leptin_insulin_chemerin,"['adiponectin', 'leptin', 'insulin', 'chemerin', 'obesity', 'resistance', 'levels', 'bilirubin', 'obese', 'fat']","['Adiponectin decreases with increasing adiposity and insulin resistance. Adiponectin and TNF-α appear to be related to differences in the insulin mediated glucose turnover.', 'Our results show that adiponectin level and markers of low-grade inflammation are related to insulin sensitivity. Adiponectin and IL-1 Ra levels might be better markers of the risk of obesity and type 2 diabetes than hs-CRP.', 'Among patients with CVD risk, total and HMW adiponectin is lower in Latinos, independent of adiposity and other known regulators of adiponectin. Ethnic differences in adiponectin regulation may exist and future research in this area is warranted. Adiponectin levels accounted for the observed variability in insulin resistance, suggesting a contribution of decreased adiponectin to insulin resistance in Latino populations.']"
73,99,73_cmv_vaccine_infection_virus,"['cmv', 'vaccine', 'infection', 'virus', 'liver', 'fibrosis', 'vlp', 'h5n1', 'encephalitis', 'vaccines']","['These data underpin the confidence that the Vero cell culture-derived, whole-virus H5N1 vaccine will be effective in a pandemic situation and support the use of neutralizing serum antibody titers as a correlate of protection for H5N1 vaccines.', 'The COBRA clade 2 HA H5N1 VLP elicits broad humoral immunity against multiple H5N1 isolates from different clades. In addition, the COBRA VLP vaccine is more effective than a homologous vaccine against a highly pathogenic avian influenza virus challenge.', 'CMV nephropathy is much more common than previously reported when sensitive techniques are used for detection in tissue. Acute rejection and CMV viraemia occur commonly together in patients at risk for CMV. Quantitative buffy coat CMV-PCR does not correlate with the presence of CMV inclusions. These findings have implications for management of patients who have elevated serum creatinine and are at risk for CMV disease.']"
74,99,74_curcumin_hair_ototoxicity_ifn,"['curcumin', 'hair', 'ototoxicity', 'ifn', 'foregut', 'cells', 'cisplatin', 'induced', 'apoptosis', 'cd98hc']","['Curcumin has the potential to provide protection from CPB-induced lung damage reflected in the expression of oxidative stress markers. The antioxidant effect of curcumin may be partly related to upregulation of HO-1.', 'Curcumin affects β-catenin pathway in HSCs and might suggest a possible new explanation for the effects of curcumin on HSC activation and liver fibrosis.', 'These results show that mucosal CD4(+) T cells and B cells increase in animals treated with curcumin, suggesting that curcumin modulates lymphocyte-mediated immune functions.']"
75,99,75_glp_fructose_glucagon_glucose,"['glp', 'fructose', 'glucagon', 'glucose', 'insulin', 'beta', 'secretion', 'liver', 'hepatic', 'gip']","['These data describe cardioprotective actions of GLP-1(7-36) mediated through the known GLP-1R and novel cardiac and vascular actions of GLP-1(7-36) and its metabolite GLP-1(9-36) independent of the known GLP-1R. Our data suggest that the extent to which GLP-1 is metabolized to GLP-1(9-36) may have functional implications in the cardiovascular system.', 'These data suggest that the arcuate GLP-1 receptors are a key component of the GLP-1 system for improving glucose homeostasis by regulating both insulin secretion and glucose production.', 'Our results suggest that GLP-2 stimulates glucagon secretion through GLP-2r present on the alpha cell in rats. In the presence of GLP-2, the glucagonostatic effect of GLP-1, normally co-secreted with GLP-2, is markedly inhibited. Based on our analogous immunohistochemical findings in human pancreas, this mechanism also applies in all likelihood to humans. However, further in vivo studies are required to assess the physiological significance of the glucagonotropic action of GLP-2 in humans.']"
76,98,76_vancomycin_postoperative_chest_ssi,"['vancomycin', 'postoperative', 'chest', 'ssi', 'lobectomy', 'complications', 'tube', 'antibiotics', 'tka', 'infection']","['In a long-term follow-up, a different clinical outcome and HRQoL were not obtained after a successfully treated superficial infection following a TKA when compared to a TKA without complications. Based on the findings of the study, additional complications are not anticipated after a successfully treated superficial wound infection in TKA. Therefore, a different follow-up to that of a non-complicated TKA is not recommended when the early post-operative superficial wound infection has been appropriately treated. A superficial infection successfully treated in the acute post-operative period should be considered solved at long-term follow-up.', 'The local application of vancomycin was associated with a significant reduction in the risk of SSI in multilevel posterior cervical-instrumented fusions for CSM. This study supports the growing body of evidence that vancomycin powder placed in the wound can reduce the incidence of postoperative wound infections, and is the first that addresses this specific population.', 'From our findings, SSI rate did not decrease with longer duration of antimicrobial prophylaxis. We concluded that we must recognize that the cause of postoperative wound infection is multimodal, and should not rely on antibiotics to prevent postoperative SSI but that surgeons should reduce the risk for postoperative SSI.']"
77,97,77_cyp3a4_cyp2c19_cyp2d6_cyp1a2,"['cyp3a4', 'cyp2c19', 'cyp2d6', 'cyp1a2', 'cyp2c9', 'itraconazole', 'cyp3a5', 'pharmacokinetics', 'grapefruit', 'drug']","['The present study demonstrates a significant contribution of the polymorphic CYP2C19 to the N-demethylation of doxepin. CYP2C9 and CYP1A2 play a minor role and CYP3A4 does not contribute substantially.', 'Genetic polymorphisms of CYP3A5*3 and CYP3A4*18B may be partly responsible in large interindividual variability of cyclosporine and tacrolimus blood levels in Chinese renal transplant patients during the first month after transplantation. A patient carried combined genotype of CYP3A4*1/*1-CYP3A5* 3/*3 might require lower tacrolimus doses to achieve target concentration levels. Genotyping of CYP3A4*18B and CYP3A5*3 before transplantation is of benefit in determining a suitable initial dose for each patient.', 'Alterations in the activity of CYP3A4, CYP2C9 and FMO3 through genetic polymorphisms, enzyme induction or inhibition bear the potential to cause clinically significant changes in perazine clearance. PER may alter the clearance of coadministered compounds metabolized by CYP2D6, CYP2C19, CYP2C9, CYP3A4 and CYP1A2.']"
78,94,78_carotid_cea_icu_mortality,"['carotid', 'cea', 'icu', 'mortality', 'score', 'patients', 'sofa', 'pulmonary', 'ci', 'pneumonia']","['In this preliminary experience, transcervical carotid angioplasty and stenting with flow reversal for cerebral protection was as safe at short term as carotid endarterectomy in octogenarian patients, who additionally had considerable comorbidity; thus, it may be possible to extend the indications for carotid revascularization in this population. Studies in larger patient series are required to confirm the trends observed in this study.', 'In this series of 390 carotid operations, the procedure-related stroke/death rate was 0.8%. There were no differences between the stroke-death rates after primary carotid endarterectomy and operation for recurrent carotid stenosis. Operation for recurrent carotid stenosis is as safe and effective as primary carotid endarterectomy and should continue to be standard treatment.', 'Patients undergoing CEA with occlusion of the contralateral carotid artery do not have unique preoperative demographic features or indications. Contralateral carotid artery occlusion does not increase risk or alter long-term outcomes after CEA. Carotid revascularization can be safely performed in tertiary military centers.']"
79,92,79_treg_cells_th17_ivig,"['treg', 'cells', 'th17', 'ivig', 'il', 'cell', 'foxp3', 'antibodies', 'production', 'tregs']","['These data suggest that IL-17 may inhibit the induction of tolerance to antigen through, at least in part augmenting IL-6 production, thereby suppressing the expansion of Treg cells.', 'Thus we report the novel finding that distinct but closely related DC subsets are differentially programmed by VitD3 to support development of either TGF-β-dependent Foxp3(+) Treg cells or IL-10-dependent IL-10(+) Treg cells.', 'We observed dysregulated production of IL-10 and IL-17 by Treg cells from B27-transgenic rats, which may contribute to disease development. Moreover, our data highlight a key role for ICOS signaling in the generation of imbalanced production of IL-10 and IL-17 by Treg cells in this experimental model of spondyloarthritis.']"
80,92,80_pcos_women_insulin_hyperandrogenism,"['pcos', 'women', 'insulin', 'hyperandrogenism', 'nitrofen', 'metformin', 'androgen', 'metabolic', 'levels', 'with']","['PCOS per se is not associated with decreased levels of plasma adiponectin. However, circulating adiponectin is independently associated with the degree of insulin resistance in PCOS women and may contribute to the development and/or maintenance of insulin resistance independent from adiposity.', 'Women with PCOS do not demonstrate finger length patterns that are consistent with increased prenatal androgen exposure. These findings do not preclude a role for prenatal androgens in the development of PCOS; however, low 2D:4D are not a characteristic of PCOS.', 'Hyperandrogenism partly resolves before menopause in women with PCOS. This change may explain the tendency of women with PCOS to cycle regularly as they grow older. Testosterone levels remain elevated in older women with PCOS, however, and may contribute to their increased risk for cardiovascular disease, endometrial cancer, and other diseases.']"
81,92,81_stem_epcs_transplantation_heart,"['stem', 'epcs', 'transplantation', 'heart', 'csf', 'cell', 'cardiac', 'myocardium', 'myocardial', 'cells']","['In addition to increasing stem cell mobilization and homing to ischemic myocardium, G-CSF treatment after myocardial ischemia improves survival by accelerating neovascularization and reducing apoptosis.', 'Human cardiac ECM seems to direct differentiation of pluripotent stem cells towards a cardiomyocyte phenotype. This phenomenon supports the use of cardiac ECM preparations for guided stem cell differentiation and myocardial repair, and may ultimately increase the therapeutic efficacy of cell therapy in heart failure patients.', 'Despite reduced EPCs compared with healthy controls, patients with CAD respond to G-CSF with increases in EPC number and homing receptor expression in the circulation and endothelial out-growth in culture. Endothelial progenitor cells (EPCs) are reduced in coronary artery disease. Granulocyte colony-stimulating factor (CSF) administered to patients increased: (1) CD133+/VEGFR-2+ cells consistent with EPC phenotype; (2) CD133+ cells coexpressing the chemokine receptor CXCR4, important for homing of EPCs to ischemic tissue; and (3) endothelial cell-forming clusters in culture. Whether EPCs mobilized into the circulation will be useful for the purpose of initiating vascular growth and myocyte repair in coronary artery disease patients must be tested in clinical trials.']"
82,92,82_hpv_cervical_women_screening,"['hpv', 'cervical', 'women', 'screening', 'cin', 'hrhpv', 'testing', 'infection', 'smears', 'vaccine']","['Our results show a strong relationship between HPV infection and cervical cancer among Pakistani women. These results underscore the need to implement regular HPV screening for Pakistani women. An early diagnosis of HPV infection will allow better health management to reduce the risk of developing cervical cancer.', 'HPV DNA testing by home obtained samples is useful as a screening tool for cervical cancer, whereas cervical cytology by self sampling is not. Although the sensitivity for high grade CIN by high risk HPV testing in the lavage by the patient is not significantly lower than that in the cervical smear, self sampling for HPV DNA is a feasible alternative method in women who decline to participate in population based cervical cancer screening programmes. However, participation in the screening programme remains the best option.', 'Multiple HR-HPV infections were most prevalent in young women. Multiple HR-HPV infections were not more frequent in high grade than in low grade cervical neoplasia, reflecting common sexual transmission of multiple HR-HPV. Prospective cohort studies linking sequential loss or gain of HPV types with cytological analysis are required to assess the impact of multiple HR-HPV infections on neoplastic progression.']"
83,88,83_storage_platelet_transfusion_pcs,"['storage', 'platelet', 'transfusion', 'pcs', 'rbcs', 'stored', 'concentrates', 'pc', 'plt', 'blood']","['Our results indicate that replacing plasma in PC with unmodified PASIII for storage results in higher levels of platelet-derived cytokines in PC. Furthermore, it appears that the nature of the medium used for storage of PC has a significant impact on platelet activation and cytokine levels of the PC. These implications should be taken into account when considering replacement of plasma with PAS.', 'In-line filtration during component preparation appears as an easy and effective procedure for obtaining prestorage leukocyte-depleted PCs. During subsequent blood bank storage, these WBC-reduced PCs display, in comparison with standard PCs, normal in vitro platelet properties, decreased accumulation of cytokines IL-6 and IL-8, and increased complement activation.', 'These data indicate that gamma irradiation can not prevent generation of IL-8 in platelet concentrates during storage, but prestorage leukoreduction of platelet concentrates can prevent accumulation of IL-6, IL-8, and TNF-alpha during storage.']"
84,87,84_trauma_injuries_injured_mri,"['trauma', 'injuries', 'injured', 'mri', 'imaging', 'injury', 'ct', 'centers', 'patient', 'head']","['Injured youth admitted to a pediatric trauma center are a high-risk population. Alcohol misuse is a significant cofactor for trauma for these patients, and effective developmentally appropriate interventions are justified and needed.', 'The significant independent predictors of survival in severely injured trauma patients are Ps, GCS score, age, mechanism of injury, and institutional volume. We found no statistically meaningful contribution to the prediction of survival on the basis of per-surgeon patient volume. Since this volume criterion for surgeon enpanelment and trauma center designation would not be expected to improve outcome, such a requirement should be justified by other measures or abandoned.', 'SOP incorporation in a trauma pathway shortens the total stay in the emergency room, resuscitation time and the time to achieve definitive diagnosis in multiple trauma patients. Thus, it can be concluded that organization and timing of trauma treatment steps help in improving the quality of trauma treatment process.']"
85,85,85_students_student_skills_learning,"['students', 'student', 'skills', 'learning', 'peer', 'medical', 'writing', 'curriculum', 'teaching', 'professionalism']","['Students achieve many aspects of workplace learning in clerkships through formal or informal workplace-based peer groups. In these groups, peers provide accessible, real-time, and relevant resources to help each other navigate transitions, clarify roles and tasks, manage interpersonal challenges, and decrease isolation. Medical schools can support effective workplace learning for medical students by incorporating continuity with peers in the main clinical clerkship year.', 'Completion of a self-guided basic surgical skills curriculum allows novice learners to significantly improve performance in basic open surgical skills, without traditional expert teaching. This curriculum is useful for medical students and incoming junior residents.', ""Students' self-assessed level of clinical skills was lower than that expected by their teachers. Education during clinical rotations is not focused on acquiring clinical skills, and additional clinical skills' training has a positive influence on students' self-assessed level of clinical skills. There was no consensus among teachers on the required level of students' clinical skills.""]"
86,75,86_sildenafil_erectile_dysfunction_citrate,"['sildenafil', 'erectile', 'dysfunction', 'citrate', 'erection', 'function', 'stiffness', 'cavernosum', 'men', 'with']","['Diabetics with erectile dysfunction often have a CFR in the lower range of normal. Sildenafil did not further reduce CFR. Asymptomatic, severe coronary artery disease often can be found in diabetics with erectile dysfunction. Cardiological screening for contraindications for sildenafil seems mandatory in diabetics with a high cardiovascular risk profile.', 'Both FK506 and sildenafil protect erectile function after CN injury by decreasing oxidative stress-associated tissue damage. FK506 may act through increased GPX activity. Further research is required to elucidate mechanisms associated with the beneficial effect of sildenafil.', 'Sildenafil is unlikely to directly produce inotropic effects on cardiac muscle in patients being treated for erectile dysfunction.']"
87,75,87_pet_fdg_ct_18,"['pet', 'fdg', 'ct', '18', 'staging', 'nodes', 'scan', '18f', 'lymph', 'meningioma']","['Noninvasive (18)F-FDG PET-derived parameters represent histologic and gene expression markers of early lung injury. Pulmonary metabolism assessed with (18)F-FDG PET depends on the mechanism of injury and appears to be additive for endotoxemia and surfactant depletion. (18)F-FDG PET may be a valuable imaging biomarker of early lung injury.', 'FDG-PET/CT demonstrated limited areas of abnormality allowing accurate delineation, and is thus useful to narrow the surgical fields. Since overall diagnostic accuracy of FDG-PET/CT was superior to that of MRI, FDG-PET/CT is a useful technique to narrow the surgical field for successful less invasive surgery.', 'In HNSCC patients with risk factors, pretreatment screening for distant metastases by chest CT is improved by (18)F-FDG PET. The combination of (18)F-FDG PET with CT is the most effective, without leading to additional costs.']"
88,73,88_migraine_headache_migraineurs_aura,"['migraine', 'headache', 'migraineurs', 'aura', 'headaches', 'cortical', 'pain', 'excitability', 'chronic', 'visual']","['This study identified allodynia, in addition to high migraine attack frequency, as a new migraine-specific factor associated with depression.', 'The lifetime prevalence of migraine with aura, but not migraine without aura, is increased in patients with MFS. This association is driven by a history of AR. The replacement procedure itself is unlikely to be causally associated with migraine as in nearly all subjects, migraine started before the procedure. However this study adds to the evidence that underlying vessel wall pathology may be involved in migraine with aura.', 'Bipolar patients had a high prevalence of migraine headache relative to patients with MDD. This study suggests that migraine is linked to bipolarity.']"
89,73,89_weight_circumference_waist_bmi,"['weight', 'circumference', 'waist', 'bmi', 'wc', 'loss', 'obesity', 'regain', 'adiposity', 'rygb']","['Waist circumference, a measure of central obesity, is a better predictor of short-term complications than body mass index and can be used to identify patients who may benefit from more aggressive infection control and prevention.', 'Waist circumference correlates better with body mass index than waist-to-hip ratio. The prevalence of abdominal obesity using waist circumference is higher than that with waist-to-hip ratio. This is especially so in Asian Indians as the new recommendations of both body mass index and waist circumference cut-offs to detect subjects at medical risk are lower in them than in Caucasians.', 'Waist circumference is a better anthropometric indicator than BMI Z-score of cardiovascular risk in Australian primary school-aged children. Even in young children, measurement of waist circumference represents a simple, non-invasive screening tool to identify children with an increased cardiovascular risk profile.']"
90,72,90_cocaine_heroin_gambling_seeking,"['cocaine', 'heroin', 'gambling', 'seeking', 'meth', 'drug', 'relapse', 'crf', 'behavior', 'reward']","['The results suggest that cholinergic transmission in the LDT may play a critical role in heroin-seeking behavior induced by cues and that galantamine may have the beneficial effect of blocking heroin-seeking behavior, which is mediated through its actions on the muscarinic receptors.', 'SSM reduces cocaine intake, blocks cocaine seeking and normalizes expression of genes known to regulate cocaine seeking. These findings suggest that SSM could be an effective pharmacological agent to assist cocaine detoxification and prevention of relapse to cocaine abuse in individuals not co-dependent on opioid.', 'These findings suggests that the BLA is a critical component of the neural circuitry that mediates conditioned and heroin-induced reinstatement of heroin-seeking behavior. Furthermore, different neural substrates may mediate drug-primed relapse to cocaine versus heroin-seeking behavior.']"
91,71,91_pth_allopurinol_atherosclerosis_calcium,"['pth', 'allopurinol', 'atherosclerosis', 'calcium', 'parathyroid', 'renal', 'excretion', 'endothelial', 'cinacalcet', 'hyperparathyroidism']","['PTHrP significantly enhanced the low-Ca++-stimulated PTH secretion in vivo and in vitro. An autocrine/paracrine role of PTHrP in the parathyroid glands is suggested. An autoregulatory effect of circulating PTH on the PTH secretion from parathyroid glands seems unlikely. The ""maximal secretory capacity"" of the parathyroid glands induced by hypocalcemia in vivo and in vitro is not the maximum, as PTH secretion can be increased even further, by several-fold.', 'In summary, data in the present paper demonstrate that the (i) human parathyroid gland/parathyroid cells exhibit Tf receptors; (ii) Al-Tf complex is taken up by the parathyroid gland in a dose-dependent manner; and (iii) uptake of Al by Tf receptor-mediated endocytosis reduces the secretion of PTH but not its synthesis. These in vitro findings allow us to suggest that Tf receptor-mediated uptake of Al might, besides other factors such as vitamin D, high calcium dialysate or CaCO(3) intake, play a role in the development of hypoparathyroidism associated with ABD. The exact mechanism by which Al-Tf suppresses iPTH secretion remains to be elucidated.', 'For the first time, we have shown that a steep dose-response relationship exists between allopurinol and its effect on endothelial function. We also showed that the mechanism of improvement in endothelial function with allopurinol lies in its ability to reduce vascular oxidative stress and not in urate reduction. The reduction in vascular oxidative stress was profound because high-dose allopurinol totally abolished the oxidative stress that was sensitive to the high-dose vitamin C that was used in this study.']"
